flow_id,source,target,target_name,enrolments,t,x,y
Other countries to WA,Other countries,WA,Western Australia,26569,2,0.49999999999999994,0.82754
Other countries to WA,Other countries,WA,Western Australia,26569,3,1.015,0.82754
Other countries to SA,Other countries,SA,South Australia,11524,0,-0.015,0.98047
Other countries to SA,Other countries,SA,South Australia,11524,1,0.49999999999999994,0.98047
Other countries to SA,Other countries,SA,South Australia,11524,2,0.49999999999999994,0.9067
Other countries to SA,Other countries,SA,South Australia,11524,3,1.015,0.9067
Other countries to ACT,Other countries,ACT,Australian Capital Territory,3271,0,-0.015,0.99237
Other countries to ACT,Other countries,ACT,Australian Capital Territory,3271,1,0.49999999999999994,0.99237
Other countries to ACT,Other countries,ACT,Australian Capital Territory,3271,2,0.49999999999999994,0.94847
Other countries to ACT,Other countries,ACT,Australian Capital Territory,3271,3,1.015,0.94847
Other countries to TAS,Other countries,TAS,Tasmania,2119,0,-0.015,0.99671
Other countries to TAS,Other countries,TAS,Tasmania,2119,1,0.49999999999999994,0.99671
Other countries to TAS,Other countries,TAS,Tasmania,2119,2,0.49999999999999994,0.97467
Other countries to TAS,Other countries,TAS,Tasmania,2119,3,1.015,0.97467
Other countries to NT,Other countries,NT,Northern Territory,985,0,-0.015,0.99921
Other countries to NT,Other countries,NT,Northern Territory,985,1,0.49999999999999994,0.99921
Other countries to NT,Other countries,NT,Northern Territory,985,2,0.49999999999999994,0.99924
Other countries to NT,Other countries,NT,Northern Territory,985,3,1.015,0.99924
